127.0.0.1 - - [09/Oct/2023:19:36:07 -0500] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [09/Oct/2023:19:36:07 -0500] "GET /ProyectoLP1/inicio.jsp HTTP/1.1" 200 4944
0:0:0:0:0:0:0:1 - - [09/Oct/2023:19:36:07 -0500] "GET /ProyectoLP1/images/definitivo%20black.png HTTP/1.1" 200 83493
0:0:0:0:0:0:0:1 - - [09/Oct/2023:19:36:07 -0500] "GET /ProyectoLP1/javascript/inicio.js HTTP/1.1" 200 841
0:0:0:0:0:0:0:1 - - [09/Oct/2023:19:36:07 -0500] "GET /ProyectoLP1/images/vecteezy_black-friday-delivery-man-on-scooter_4575774.mp4 HTTP/1.1" 206 3477869
0:0:0:0:0:0:0:1 - - [09/Oct/2023:19:36:07 -0500] "GET /ProyectoLP1/cssssss/stylesssss.css HTTP/1.1" 200 13710
0:0:0:0:0:0:0:1 - - [09/Oct/2023:19:36:07 -0500] "GET /ProyectoLP1/images/vecteezy_black-friday-delivery-man-on-scooter_4575774.mp4 HTTP/1.1" 206 4461
0:0:0:0:0:0:0:1 - - [09/Oct/2023:19:36:07 -0500] "GET /ProyectoLP1/images/vecteezy_black-friday-delivery-man-on-scooter_4575774.mp4 HTTP/1.1" 206 2818053
0:0:0:0:0:0:0:1 - - [09/Oct/2023:19:36:07 -0500] "GET /ProyectoLP1/cssssss/5.jpg HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [09/Oct/2023:19:36:08 -0500] "GET /ProyectoLP1/images/icono_quickshop.png HTTP/1.1" 200 119613
0:0:0:0:0:0:0:1 - - [09/Oct/2023:19:36:33 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 4994
0:0:0:0:0:0:0:1 - - [09/Oct/2023:19:36:33 -0500] "GET /ProyectoLP1/images/vecteezy_black-friday-delivery-man-on-scooter_4575774.mp4 HTTP/1.1" 206 365
0:0:0:0:0:0:0:1 - - [09/Oct/2023:19:36:33 -0500] "GET /ProyectoLP1/cssssss/5.jpg HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [09/Oct/2023:19:36:39 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 4994
0:0:0:0:0:0:0:1 - - [09/Oct/2023:19:36:39 -0500] "GET /ProyectoLP1/cssssss/5.jpg HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [09/Oct/2023:19:36:44 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 4994
0:0:0:0:0:0:0:1 - - [09/Oct/2023:19:36:45 -0500] "GET /ProyectoLP1/cssssss/5.jpg HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [09/Oct/2023:19:36:48 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 4994
0:0:0:0:0:0:0:1 - - [09/Oct/2023:19:36:56 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 4994
0:0:0:0:0:0:0:1 - - [09/Oct/2023:19:39:06 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 4994
0:0:0:0:0:0:0:1 - - [09/Oct/2023:19:39:25 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 4944
0:0:0:0:0:0:0:1 - - [09/Oct/2023:19:39:29 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 59093
0:0:0:0:0:0:0:1 - - [09/Oct/2023:19:39:29 -0500] "GET /ProyectoLP1/images/user.png HTTP/1.1" 200 7224
0:0:0:0:0:0:0:1 - - [09/Oct/2023:19:39:29 -0500] "GET /ProyectoLP1/cssssss/listadoProductosss.css HTTP/1.1" 200 7327
0:0:0:0:0:0:0:1 - - [09/Oct/2023:19:39:29 -0500] "GET /ProyectoLP1/javascript/listadoProductosssss.js HTTP/1.1" 200 1242
